JGI_id,YALI0_id,glucose_1,glucose_2,glucose_3,glycerol_1,glycerol_2,glycerol_3,oleic_acid_1,oleic_acid_2,oleic_acid_3
jgi.p|Yarli1|67406,YALI0D09020g,0.37,0.49,0.15,0.47,0.15,0.29,0.13,0.24,0.58
jgi.p|Yarli1|67407,YALI0D09042g,3.04,3.6,4.71,3.81,3.49,2.87,3.45,2.7,3.03
jgi.p|Yarli1|67408,YALI0D09064g,0,0,0,0.12,0.15,0,0.13,0.12,0.12
jgi.p|Yarli1|67409,YALI0D09086g,9.66,8.4,9.73,13.11,12.22,14.77,8.74,10.31,9.4
jgi.p|Yarli1|67410,YALI0D09119g,139.34,148.54,159.84,211.38,219.73,214.83,233.83,165.43,213.37
jgi.p|Yarli1|67411,YALI0D09141g,16.88,15.62,17.38,21.73,25.72,28.99,23.86,21.58,24.69
jgi.p|Yarli1|67412,YALI0D09163g,38.51,43.96,44.83,35.67,25.26,31.95,31.55,25.85,28.41
jgi.p|Yarli1|67413,YALI0D09185g,2.66,2.63,3.16,5.46,5.73,6.34,2.39,2.69,2.35
jgi.p|Yarli1|67414,YALI0D09207g,27.3,34.36,32.67,50.06,46.17,49.21,99.71,59.46,88.86
jgi.p|Yarli1|67415,YALI0D09229g,69.26,91.5,72.29,171.04,193.02,175.85,181.12,170.91,172.44
